epoch,loss,loss_1,lr
0,275.2420568225884,275.2424,0.0005
0,275.5757066277062,275.57593,0.0005
1,234.09485757167516,234.09508,0.0005
2,228.87280346719214,228.87247,0.0005
3,226.46263847686038,226.46225,0.0005
4,224.89828581242756,224.89816,0.0005
5,223.86818477539163,223.86853,0.0005
6,223.05003229485172,223.05005,0.0005
7,222.5113612728418,222.5113,0.0005
8,222.11415673088348,222.11418,0.0005
9,221.70962263650162,221.70949,0.0005
10,221.2688682480498,221.26938,0.0005
11,221.12341808250008,221.1235,0.0005
12,220.89293509325321,220.89275,0.0005
13,220.7015782181818,220.70113,0.0005
14,220.5067014666112,220.5064,0.0005
15,220.3282614398547,220.32857,0.0005
16,220.20573318330287,220.20514,0.0005
17,220.0474008299562,220.0473,0.0005
18,219.87967375543857,219.87997,0.0005
19,219.79151585772163,219.79181,0.0005
20,219.6864860715839,219.68669,0.0005
21,219.50893528949274,219.50919,0.0005
22,219.456218294987,219.45628,0.0005
23,219.40614199186828,219.40596,0.0005
24,219.3401521861773,219.34047,0.0005
25,219.22929681604325,219.2294,0.0005
26,219.2720106067629,219.2718,0.0005
27,219.1088127812674,219.10858,0.0005
28,218.96059770301534,218.9604,0.0005
29,218.96708640261247,218.96661,0.0005
30,218.96042073521014,218.96043,0.0005
31,218.92159245350626,218.92197,0.0005
32,218.84891912965043,218.84921,0.0005
33,218.71827517080214,218.71788,0.0005
34,218.72622536254653,218.72635,0.0005
35,218.64073659336233,218.64076,0.0005
36,218.67795236828806,218.67805,0.0005
37,218.5397923220688,218.53958,0.0005
38,218.54348486030057,218.54341,0.0005
39,218.5078451615766,218.50769,0.0005
40,218.44556608048455,218.44547,0.0005
41,218.36384909191784,218.36343,0.0005
42,218.40261101134433,218.4024,0.0005
43,218.3180020005718,218.3181,0.0005
44,218.32837675853395,218.32857,0.0005
45,218.2972538271413,218.29778,0.0005
46,218.26865483746718,218.26836,0.0005
47,218.21988130591234,218.2199,0.0005
48,218.1492229705296,218.14958,0.0005
49,218.1463455664815,218.1463,0.0005
50,218.0907532202675,218.09084,0.0005
51,218.09914501250947,218.09958,0.0005
52,218.03644811260554,218.03633,0.0005
53,218.1029867470367,218.10344,0.0005
54,217.98679383706403,217.9866,0.0005
55,217.95154545636063,217.95168,0.0005
56,217.93266558604202,217.93237,0.0005
57,218.00024233064954,218.00043,0.0005
58,217.9494588959055,217.94916,0.0005
59,217.94126113729598,217.94167,0.0005
60,217.943248632775,217.94292,0.0005
61,217.89983019153948,217.89938,0.0005
62,217.889026229589,217.88939,0.0005
63,217.88122887397424,217.881,0.0005
64,217.85965875748724,217.85945,0.0005
65,217.82523625272603,217.82578,0.0005
66,217.75309734039362,217.7529,0.0005
67,217.70036047464384,217.70021,0.0005
68,217.81540768845028,217.81528,0.0005
69,217.79005671510814,217.79033,0.0005
70,217.70311786840145,217.70323,0.0005
71,217.75725108126574,217.75717,0.0005
72,217.6749046313294,217.67502,0.0005
73,217.65334179134746,217.65318,0.0005
74,217.70311860709316,217.7032,0.0005
75,217.64240731828139,217.64258,0.0005
76,217.67994176276517,217.67975,0.0005
77,217.65604082755564,217.65616,0.0005
78,217.62351595011472,217.62376,0.0005
79,217.62117794564205,217.62119,0.0005
80,217.58374408946005,217.5837,0.0005
81,217.56802448871858,217.5683,0.0005
82,217.50661605214287,217.50624,0.0005
83,217.61152861924765,217.6111,0.0005
84,217.52667073556864,217.52672,0.0005
85,217.4464039771884,217.44626,0.0005
86,217.49826272579588,217.49785,0.0005
87,217.4856698924617,217.48546,0.0005
88,217.5271042404328,217.52686,0.0005
89,217.50837800345545,217.50812,0.0005
90,217.50731392150195,217.50731,0.0005
91,217.45254850006995,217.45221,0.0005
92,217.43594467329308,217.43622,0.0005
93,217.4753832429934,217.47537,0.0005
94,217.49057879362806,217.49109,0.0005
95,217.4771147018078,217.47728,0.0005
96,217.44607304397712,217.44577,0.0005
97,217.40907271111155,217.40857,0.0005
98,217.41542675672855,217.41545,0.0005
99,217.3785154305662,217.37851,0.0005
100,217.39306784507204,217.39323,0.0005
101,217.35436055742613,217.35474,0.0005
102,217.4357824638826,217.436,0.0005
103,217.35444049542323,217.3544,0.0005
104,217.41829942970023,217.41815,0.0005
105,217.42536623637898,217.42508,0.0005
106,217.38583751420492,217.38564,0.0005
107,217.28038359942119,217.2803,0.0005
108,217.36948271796928,217.3697,0.0005
109,217.4115286361032,217.41115,0.0005
110,217.35631931728523,217.3566,0.0005
111,217.38506430115274,217.38536,0.0005
112,217.31805441010138,217.3177,0.0005
113,217.235897288027,217.23578,0.0005
114,217.32739001665422,217.32735,0.0005
115,217.30134887320241,217.3016,0.0005
116,217.2572844243698,217.25746,0.0005
117,217.28901828574587,217.28879,0.0005
118,217.2420513886703,217.24142,0.0005
119,217.33403009676366,217.33418,0.0005
120,217.20894931538666,217.20877,0.0005
121,217.2808550026048,217.28098,0.0005
121,217.2525553276059,217.25262,0.0005
122,217.24455364352073,217.24496,0.0005
123,217.1942790120696,217.19427,0.0005
124,217.2212569890901,217.22104,0.0005
125,217.18318096239574,217.18329,0.0005
126,217.21631958013236,217.21587,0.0005
127,217.25076487934734,217.2508,0.0005
128,217.18757363509195,217.18732,0.0005
129,217.238564835166,217.23827,0.0005
130,217.19844756307796,217.1988,0.0005
131,217.17704801034265,217.17686,0.0005
132,217.17449765241182,217.17482,0.0005
133,217.17940319534767,217.1794,0.0005
134,217.17859685850934,217.17867,0.0005
135,217.13667516432673,217.13643,0.0005
136,217.14345672544007,217.14287,0.0005
137,217.1274964536953,217.12773,0.0005
138,217.1600113194082,217.15982,0.0005
139,217.15134507856538,217.15144,0.0005
140,217.1656980637055,217.16579,0.0005
141,217.1975682824661,217.19736,0.0005
142,217.12821525511333,217.1283,0.0005
143,217.0705543293514,217.07074,0.0005
144,217.1069789269624,217.10732,0.0005
145,217.1196616084968,217.11974,0.0005
146,217.13004990248763,217.13002,0.0005
147,217.04745149164538,217.0472,0.0005
148,217.07007695028133,217.0696,0.0005
149,217.10020076798838,217.09993,0.0005
150,217.1265153353774,217.12633,0.0005
151,217.0976716622815,217.09746,0.0005
152,217.0541219953395,217.05424,0.0005
153,217.15852965099032,217.1589,0.0005
154,217.07496215125303,217.07487,0.0005
155,217.0586846073489,217.0589,0.0005
156,217.03167137075312,217.03174,0.0005
157,217.05425122044767,217.05417,0.0005
158,216.9953965508711,216.99542,0.0005
159,216.94584635946282,216.9461,0.0005
160,216.93244062820457,216.93279,0.0005
161,217.00128092751285,217.0009,0.0005
162,217.0118271820811,217.01219,0.0005
163,217.0217907941603,217.02184,0.0005
164,217.03500782794504,217.03493,0.0005
165,217.11066727563423,217.11107,0.0005
166,217.02570134714497,217.026,0.0005
167,216.9984728275548,216.99812,0.0005
168,217.04772971587371,217.04745,0.0005
169,217.07235741663428,217.07251,0.0005
170,217.0498234944646,217.04982,0.0005
